Id,AegisName,Name
500,Warnut_Chocoball,Choko Gangjeong
501,Red_Potion,Red Potion
502,Orange_Potion,Orange Potion
503,Yellow_Potion,Yellow Potion
504,White_Potion,White Potion
505,Blue_Potion,Blue Potion
506,Green_Potion,Green Potion
507,Red_Herb,Red Herb
508,Yellow_Herb,Yellow Herb
509,White_Herb,White Herb
510,Blue_Herb,Blue Herb
511,Green_Herb,Green Herb
512,Apple,Apple
513,Banana,Banana
514,Grape,Grape
515,Carrot,Carrot
516,Sweet_Potato,Potato
517,Meat,Meat
518,Honey,Honey
519,Milk,Milk
520,Leaflet_Of_Hinal,Hinalle Leaflet
521,Leaflet_Of_Aloe,Aloe Leaflet
522,Fruit_Of_Mastela,Mastela Fruit
523,Holy_Water,Holy Water
525,Panacea,Panacea
526,Royal_Jelly,Royal Jelly
528,Monster's_Feed,Monster's Feed
529,Candy,Candy
530,Candy_Striper,Candy Cane
531,Apple_Juice,Apple Juice
532,Banana_Juice,Banana Juice
533,Grape_Juice,Grape Juice
534,Carrot_Juice,Carrot Juice
535,Pumpkin,Pumpkin
536,Ice_Cream,Ice Cream
537,Pet_Food,Pet Food
538,Well_Baked_Cookie,Well-baked Cookie
539,Piece_Of_Cake,Piece of Cake
540,Falcon's_Feed,Falcon Food
541,Pecopeco's_Feed,PecoPeco Food
542,Festive_Cookie,Festival Cookie
543,Festive_Rainbow_Cake,Festival Rainbow Cake
544,Fish_Slice,Raw Fish
545,Red_Slim_Potion,Condensed Red Potion
546,Yellow_Slim_Potion,Condensed Yellow Potion
547,White_Slim_Potion,Condensed White Potion
548,Cheese,Cheese
549,Nice_Sweet_Potato,Yam
550,Popped_Rice,Rice Cake
551,Shusi,Sushi
552,KETUPAT,Ketupat
553,Bun,Bao
554,Mojji,Mochi
555,Rice_Cake,Traditional Rice Cake
556,Long_Rice_Cake,Rice Cake Stick
557,Hash_Rice_Cake,Neatly Sliced Rice Cake
558,Chocolate,Chocolate
559,HandMade_Chocolate,Hand-made Chocolate
560,HandMade_Chocolate_,Handmade White Chocolate
561,White_Chocolate,White Chocolate
562,Pizza,Doublecrust Swiss Fondue
563,Pizza_01,Doublecrust Swiss Fondue
564,Rice_Ball,Rice Ball
565,Vita500_Bottle,Vita500
566,Tomyumkung,Tom Yum Goong
567,Prawn,Shrimp
568,Lemon,Lemon
569,Novice_Potion,Novice Potion
570,Lucky_Candy,Lucky Candy
571,Lucky_Candy_Cane,Lucky Candy Cane
572,Lucky_Cookie,Lucky Cookie
573,Chocolate_Drink,Chocolate Drink
574,Egg,Egg
575,Piece_Of_Cake_,2nd Anniversary Cake
576,Prickly_Fruit,Prickly Fruit
577,Grain,Bag of Grain
578,Strawberry,Strawberry
579,Delicious_Fish,Fresh Fish
580,Bread,Bread
581,Mushroom,Edible Mushroom
582,Orange,Orange
583,KETUPAT_,Ketupat Sayur
584,Fish_Ball_Soup,Fish Cake Soup
585,Wurst,Brusti
586,Mother's_Cake,Mother's Cake
587,Prickly_Fruit_,Red Prickly Fruit
588,Spaghetti,Spaghetti
589,Pizza_02,Pizza
590,Brezel_,Pretzel
591,Caviar_Pancake,Caviar Pancake
592,Jam_Pancake,Jam Pancake
593,Honey_Pancake,Honey Pancake
594,Sour_Cream_Pancake,Sour-Cream Pancake
595,Mushroom_Pancake,Mushroom Pancake
596,Cute_Strawberry_Choco,Cute Strawberry-Choco
597,Lovely_Choco_Tart,Lovely Choco-Tart
598,Light_Red_Pot,Light Red Potion
599,Light_Orange_Pot,Light Orange Potion
601,Wing_Of_Fly,Fly Wing
602,Wing_Of_Butterfly,Butterfly Wing
603,Old_Blue_Box,Old Blue Box
604,Branch_Of_Dead_Tree,Dead Branch
605,Anodyne,Anodyne
606,Aloebera,Aloevera
607,Yggdrasilberry,Yggdrasil Berry
608,Seed_Of_Yggdrasil,Yggdrasil Seed
609,Amulet,Amulet
610,Leaf_Of_Yggdrasil,Yggdrasil Leaf
611,Spectacles,Magnifier
612,Portable_Furnace,Mini Furnace
613,Iron_Hammer,Iron Hammer
614,Golden_Hammer,Golden Hammer
615,Oridecon_Hammer,Oridecon Hammer
616,Old_Card_Album,Old Card Album
617,Old_Violet_Box,Old Purple Box
618,Worn_Out_Scroll,Worn Out Scroll
619,Unripe_Apple,Unripe Apple
620,Orange_Juice,Orange Juice
621,Bitter_Herb,Bitter Herb
622,Rainbow_Carrot,Rainbow Carrot
623,Earthworm_The_Dude,Earthworm the Dude
624,Rotten_Fish,Rotten Fish
625,Lusty_Iron,Rusty Iron
626,Monster_Juice,Monster Juice
627,Sweet_Milk,Sweet Milk
628,Well_Dried_Bone,Well-Dried Bone
629,Singing_Flower,Singing Flower
630,Dew_Laden_Moss,Dew Laden Moss
631,Deadly_Noxious_Herb,Deadly Noxious Herb
632,Fatty_Chubby_Earthworm,Fatty Chubby Earthworm
633,Baked_Yam,Sweet Potato
634,Tropical_Banana,Tropical Banana
635,Horror_Of_Tribe,Orc Trophy
636,No_Recipient,No Recipient
637,Old_Broom,Old Broom
638,Silver_Knife_Of_Chaste,Silver Knife of Chastity
639,Armlet_Of_Obedience,Armlet of Obedience
640,Shining_Stone,Shining Stone
641,Contracts_In_Shadow,Contract in Shadow
642,Book_Of_Devil,Book of the Devil
643,Pet_Incubator,Pet Incubator
644,Gift_Box,Gift Box
645,Center_Potion,Concentration Potion
656,Awakening_Potion,Awakening Potion
657,Berserk_Potion,Berserk Potion
658,Union_Of_Tribe,Union of Tribe
659,Heart_Of_Her,Her Heart
660,Prohibition_Red_Candle,Forbidden Red Candle
661,Sway_Apron,Soft Apron
662,Inspector_Certificate,Authoritative Badge
663,Korea_Rice_Cake,Korean Rice Cake
664,Gift_Box_1,Gift Box
665,Gift_Box_2,Gift Box
666,Gift_Box_3,Gift Box
667,Gift_Box_4,Gift Box
668,Handsei,Red Envelope
669,Rice_Cake_Soup,Tempting Rice-Cake Soup
671,Gold_Coin,Gold Coin
673,Copper_Coin,Bronze Coin
675,Silver_Coin,Silver Coin
678,Poison_Bottle,Poison Bottle
679,Gold_Pill,Pilule
680,Magical_Carnation,Magic Carnation
681,Memory_Of_Wedding,Sweet Memory of Marriage
682,Realgar_Wine,Distilled Fighting Spirit
683,Exorcize_Herb,Herb of Incantation
684,Durian,Durian
